# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 5.000000e+00
# lRef        : 8.000000e-01
# Aref        : 8.000000e-01
# CofR        : (1.200000e+01 2.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0             	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.0004        	3.443725e+02	5.509740e+02	7.908658e+01	3.839158e+02	-3.048292e+02
0.0008        	-1.731030e+02	-2.768720e+02	-2.816517e+01	-1.871856e+02	1.590204e+02
0.0012        	2.161590e+01	3.438029e+01	-1.343793e+01	1.489694e+01	-2.833487e+01
0.0016        	-5.103067e+01	-8.127953e+01	-4.751493e+00	-5.340642e+01	4.865492e+01
0.002         	6.966643e+01	1.111682e+02	-4.018271e+00	6.765730e+01	-7.167557e+01
0.0024        	-7.770192e+01	-1.240398e+02	-4.258283e+01	-9.899334e+01	5.641051e+01
0.0028        	1.056357e+02	1.660535e+02	-7.445584e+01	6.840780e+01	-1.428636e+02
0.0032        	-1.517869e+02	-2.441228e+02	-2.882458e+02	-2.959098e+02	7.663985e+00
0.0036        	1.428684e+02	2.080991e+02	-4.562810e+02	-8.527206e+01	-3.710089e+02
0.004         	-6.519427e+02	-1.097410e+03	-1.487267e+03	-1.395576e+03	-9.169088e+01
0.0044        	1.388457e+02	3.084419e+02	-9.525423e+01	9.121859e+01	-1.864728e+02
0.0048        	1.214599e+03	2.227767e+03	-2.865953e+04	-1.311517e+04	-1.554436e+04
0.0052        	-1.356578e+04	-9.201799e+03	-1.736634e+05	-1.003975e+05	-7.326591e+04
0.0056        	4.167862e+05	5.818326e+05	-1.958092e+06	-5.622596e+05	-1.395832e+06
0.006         	-1.657224e+06	-1.913207e+06	-1.658489e+07	-9.949668e+06	-6.635220e+06
0.0064        	1.564181e+07	1.728979e+07	-1.173687e+08	-4.304253e+07	-7.432616e+07
0.0068        	-7.209677e+07	-2.846236e+07	-7.255869e+08	-4.348902e+08	-2.906967e+08
0.0072        	3.407347e+08	5.036899e+07	-1.222716e+09	-2.706232e+08	-9.520927e+08
0.0076        	-8.754797e+09	-1.227595e+10	-1.573513e+10	-1.662236e+10	8.872309e+08
0.008         	-4.998621e+10	-1.095718e+11	-1.492804e+11	-1.246264e+11	-2.465400e+10
0.0084        	4.722992e+11	6.601421e+10	-6.660268e+11	1.392858e+11	-8.053126e+11
0.0088        	-2.070857e+12	-2.370176e+12	3.812352e+12	-1.646807e+11	3.977033e+12
0.0092        	1.233570e+13	1.133012e+13	-7.091937e+13	-2.312398e+13	-4.779539e+13
