# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 2.000000e+00
# lRef        : 2.000000e-01
# Aref        : 2.000000e-01
# CofR        : (4.000000e+00 3.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0             	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.003         	2.287696e+02	9.233572e+01	-1.770054e-01	2.286811e+02	-2.288581e+02
0.00303962    	2.796317e+03	1.141770e+03	-1.167843e+02	2.737925e+03	-2.854709e+03
0.00308717    	-5.072608e+02	-2.042006e+02	5.664118e+01	-4.789402e+02	5.355814e+02
0.00313744    	-3.354808e+02	-1.343727e+02	-5.585403e-01	-3.357600e+02	3.352015e+02
0.00319415    	2.059805e+01	6.314815e+00	-3.690741e-01	2.041351e+01	-2.078258e+01
0.00326221    	-1.223853e+02	-4.890145e+01	-1.236305e+00	-1.230035e+02	1.217672e+02
0.00334387    	1.412056e+02	5.614716e+01	-1.313235e-01	1.411399e+02	-1.412713e+02
0.00344067    	5.064922e+01	2.010501e+01	3.776537e-02	5.066810e+01	-5.063034e+01
0.00354982    	-1.159136e+01	-4.737557e+00	-1.584392e-01	-1.167058e+01	1.151214e+01
0.00367611    	4.119637e+00	1.607231e+00	-1.034784e-01	4.067898e+00	-4.171376e+00
0.0038119     	1.413088e+01	5.627685e+00	2.671478e-02	1.414423e+01	-1.411752e+01
0.003952      	7.517144e+00	3.010212e+00	-7.142393e-02	7.481432e+00	-7.552856e+00
0.00409751    	9.462919e+00	3.795308e+00	1.152952e-02	9.468684e+00	-9.457155e+00
0.0042497     	9.515160e+00	3.797220e+00	-1.810894e-02	9.506106e+00	-9.524215e+00
0.00440989    	4.532241e+00	1.808675e+00	-2.737251e-02	4.518555e+00	-4.545927e+00
0.00457943    	1.237749e+00	4.902342e-01	-3.849212e-03	1.235824e+00	-1.239673e+00
0.00475955    	3.587634e-01	1.389501e-01	1.347688e-02	3.655019e-01	-3.520250e-01
0.00495149    	-8.717980e-02	-3.948287e-02	-6.605109e-03	-9.048236e-02	8.387725e-02
0.00515642    	-1.210349e+00	-4.894727e-01	5.064624e-03	-1.207817e+00	1.212882e+00
0.0053733     	-1.638444e+00	-6.528854e-01	3.903507e-02	-1.618927e+00	1.657962e+00
0.00559775    	-1.604923e+00	-6.334378e-01	2.255211e-02	-1.593647e+00	1.616199e+00
0.00583165    	-1.316497e+00	-5.201907e-01	-2.446624e-03	-1.317721e+00	1.315274e+00
0.00607715    	-1.270379e+00	-5.094781e-01	-6.944288e-04	-1.270726e+00	1.270032e+00
0.0063366     	-1.429084e+00	-5.683155e-01	-9.895595e-03	-1.434032e+00	1.424136e+00
0.00660499    	-1.501785e+00	-5.982114e-01	3.452441e-03	-1.500058e+00	1.503511e+00
0.00688431    	-1.372049e+00	-5.476784e-01	2.957025e-03	-1.370571e+00	1.373528e+00
0.00717694    	-1.279824e+00	-5.136073e-01	-1.354066e-02	-1.286594e+00	1.273053e+00
0.00747197    	-9.056799e-01	-3.666286e-01	-6.754934e-03	-9.090574e-01	9.023025e-01
0.00776413    	-6.030719e-01	-2.388963e-01	-9.792284e-04	-6.035616e-01	6.025823e-01
0.00805222    	-4.218309e-01	-1.749173e-01	8.934582e-03	-4.173636e-01	4.262982e-01
0.00833804    	-1.352265e-01	-5.682481e-02	-2.622860e-03	-1.365380e-01	1.339151e-01
0.00862317    	-1.037522e-02	-3.201694e-03	1.661948e-02	-2.065473e-03	1.868496e-02
0.00890914    	-5.754559e-02	-1.909584e-02	4.526397e-03	-5.528239e-02	5.980879e-02
0.00919609    	1.236480e-01	4.575807e-02	-4.840660e-03	1.212277e-01	-1.260683e-01
0.00948169    	2.875785e-01	1.092621e-01	3.541509e-03	2.893492e-01	-2.858077e-01
0.00976752    	5.161416e-01	1.992410e-01	9.052780e-03	5.206680e-01	-5.116152e-01
0.0100551     	7.020224e-01	2.769936e-01	-3.379721e-04	7.018534e-01	-7.021914e-01
0.0103441     	6.859535e-01	2.721139e-01	-2.065993e-02	6.756235e-01	-6.962835e-01
0.0106325     	6.594694e-01	2.582392e-01	1.090508e-02	6.649219e-01	-6.540168e-01
0.0109216     	6.648506e-01	2.586810e-01	-2.022501e-03	6.638394e-01	-6.658619e-01
0.0112126     	6.699169e-01	2.609356e-01	1.274004e-03	6.705539e-01	-6.692799e-01
