# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 2.000000e-01
# Aref        : 2.000000e-01
# CofR        : (3.000000e+00 2.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0             	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.005         	1.011429e+02	4.070693e+01	1.801367e+01	1.101497e+02	-9.213604e+01
0.01          	-3.582115e+01	-1.483151e+01	1.165247e+01	-2.999491e+01	4.164739e+01
0.015         	-7.384476e-01	-6.346628e-02	-1.036813e+01	-5.922511e+00	-4.445616e+00
0.02          	-2.416224e+00	-1.071155e+00	-1.947044e+01	-1.215144e+01	-7.318996e+00
0.025         	7.267071e+00	2.940215e+00	3.359420e+01	2.406417e+01	9.530030e+00
0.03          	-9.219014e+00	-3.461988e+00	-7.263866e+01	-4.553834e+01	-2.710032e+01
0.035         	7.863920e+00	2.851781e+00	1.425982e+02	7.916301e+01	6.343517e+01
0.04          	1.092772e+01	4.793133e+00	-4.010846e+02	-1.896146e+02	-2.114700e+02
0.045         	-2.854877e+00	-1.888305e+00	1.260661e+03	6.274758e+02	6.331856e+02
0.05          	-8.817478e+02	-3.473841e+02	-6.302127e+03	-4.032812e+03	-2.269316e+03
0.055         	1.924154e+04	7.695899e+03	4.270430e+04	4.059368e+04	2.110615e+03
0.06          	6.572876e+04	2.501670e+04	-2.511362e+05	-5.983935e+04	-1.912969e+05
0.065         	-1.795065e+06	-6.656170e+05	2.423314e+06	-5.834079e+05	3.006722e+06
0.07          	-9.595076e+06	-3.478296e+06	-3.137947e+07	-2.528481e+07	-6.094658e+06
0.075         	1.422016e+08	5.630846e+07	5.373663e+08	4.108847e+08	1.264816e+08
0.08          	4.346218e+09	1.454607e+09	-1.124634e+10	-1.276954e+09	-9.969390e+09
0.085         	-2.303717e+10	-3.318013e+08	2.391849e+11	9.655527e+10	1.426296e+11
0.09          	-7.206852e+12	-3.030275e+12	-4.086339e+12	-9.250021e+12	5.163682e+12
0.095         	-3.786206e+14	-1.543578e+14	7.673463e+13	-3.402533e+14	4.169880e+14
0.1           	1.109950e+16	4.755183e+15	4.585235e+15	1.339211e+16	-8.806880e+15
0.105         	3.901248e+17	1.705547e+17	1.168010e+17	4.485253e+17	-3.317243e+17
0.11          	2.027224e+18	6.615630e+17	2.737022e+18	3.395735e+18	-6.587131e+17
0.115         	2.452567e+20	9.881811e+19	-1.535215e+20	1.684959e+20	-3.220174e+20
0.12          	2.237705e+22	8.547958e+21	-1.274808e+21	2.173964e+22	-2.301445e+22
0.125         	-1.166725e+24	-4.754153e+23	8.322763e+23	-7.505872e+23	1.582864e+24
0.13          	-3.267926e+25	-1.614866e+25	-2.165719e+24	-3.376211e+25	3.159640e+25
0.135         	1.853126e+27	6.844486e+26	-2.215346e+26	1.742359e+27	-1.963894e+27
0.14          	-5.343644e+28	-1.962977e+28	1.915654e+27	-5.247861e+28	5.439427e+28
0.145         	8.736617e+29	4.035907e+29	-1.064607e+29	8.204314e+29	-9.268920e+29
0.15          	-2.200222e+31	-9.034299e+30	6.216677e+30	-1.889388e+31	2.511056e+31
0.155         	-6.503847e+31	1.416889e+31	-2.367917e+32	-1.834343e+32	-5.335738e+31
0.16          	-9.276367e+33	-3.688595e+33	1.977689e+34	6.120787e+32	1.916481e+34
0.165         	-2.374001e+36	-1.080532e+36	-6.508833e+35	-2.699442e+36	2.048559e+36
0.17          	1.467558e+38	6.368685e+37	-2.534302e+37	1.340843e+38	-1.594274e+38
0.175         	-4.847211e+39	-1.756353e+39	4.158522e+38	-4.639285e+39	5.055137e+39
0.18          	3.637732e+40	1.069679e+39	-3.860339e+40	1.707563e+40	-5.567901e+40
0.185         	-7.130418e+41	-4.463876e+41	8.846381e+41	-2.707227e+41	1.155361e+42
0.19          	-1.038919e+43	-3.577390e+42	-3.070257e+43	-2.574048e+43	-4.962092e+42
0.195         	4.081875e+42	1.086309e+43	2.570250e+44	1.325944e+44	1.244306e+44
0.2           	-3.328608e+44	-5.308492e+44	-3.360873e+45	-2.013297e+45	-1.347576e+45
0.205         	5.471359e+46	1.472885e+46	6.881681e+46	8.912199e+46	-2.030519e+46
0.21          	1.139479e+47	-1.440878e+47	-1.692651e+48	-7.323773e+47	-9.602732e+47
0.215         	-2.043624e+49	-7.360340e+48	9.506447e+48	-1.568301e+49	2.518946e+49
0.22          	1.400143e+51	5.455647e+50	-3.165146e+50	1.241886e+51	-1.558401e+51
0.225         	-5.346564e+52	-1.788988e+52	3.256657e+52	-3.718235e+52	6.974892e+52
0.23          	-4.086099e+52	-2.099612e+52	-6.997163e+53	-3.907191e+53	-3.089971e+53
0.235         	-4.430164e+55	-1.698970e+55	1.309197e+55	-3.775566e+55	5.084762e+55
0.24          	4.045365e+56	1.725891e+56	8.875529e+55	4.489142e+56	-3.601589e+56
