# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 2.000000e+00
# lRef        : 2.000000e-01
# Aref        : 2.000000e-01
# CofR        : (4.000000e+00 3.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0             	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.003         	2.287700e+02	9.233585e+01	-1.769718e-01	2.286815e+02	-2.288585e+02
0.00303962    	2.796325e+03	1.141774e+03	-1.167842e+02	2.737933e+03	-2.854717e+03
0.00308717    	-5.072618e+02	-2.042010e+02	5.664123e+01	-4.789412e+02	5.355824e+02
0.00313744    	-3.354809e+02	-1.343727e+02	-5.584653e-01	-3.357601e+02	3.352016e+02
0.00319415    	2.059757e+01	6.314680e+00	-3.690148e-01	2.041306e+01	-2.078208e+01
0.0032622     	-1.223845e+02	-4.890116e+01	-1.236325e+00	-1.230026e+02	1.217663e+02
0.00334387    	1.412060e+02	5.614733e+01	-1.312740e-01	1.411404e+02	-1.412717e+02
0.00344067    	5.064980e+01	2.010524e+01	3.781515e-02	5.066871e+01	-5.063089e+01
0.00354982    	-1.159104e+01	-4.737427e+00	-1.584091e-01	-1.167025e+01	1.151184e+01
0.00367611    	4.120105e+00	1.607417e+00	-1.034480e-01	4.068381e+00	-4.171829e+00
0.0038119     	1.413138e+01	5.627878e+00	2.676627e-02	1.414476e+01	-1.411800e+01
0.003952      	7.517347e+00	3.010292e+00	-7.139047e-02	7.481652e+00	-7.553043e+00
0.00409751    	9.463217e+00	3.795428e+00	1.156455e-02	9.468999e+00	-9.457435e+00
0.0042497     	9.515707e+00	3.797438e+00	-1.806843e-02	9.506673e+00	-9.524741e+00
0.00440989    	4.532586e+00	1.808813e+00	-2.734316e-02	4.518915e+00	-4.546258e+00
0.00457942    	1.238032e+00	4.903476e-01	-3.801379e-03	1.236131e+00	-1.239932e+00
0.00475955    	3.589541e-01	1.390372e-01	1.350953e-02	3.657089e-01	-3.521993e-01
0.00495148    	-8.670607e-02	-3.929846e-02	-6.559946e-03	-8.998604e-02	8.342609e-02
0.00515642    	-1.210121e+00	-4.893728e-01	5.120809e-03	-1.207560e+00	1.212681e+00
0.0053733     	-1.638178e+00	-6.527838e-01	3.906148e-02	-1.618647e+00	1.657709e+00
0.00559774    	-1.604549e+00	-6.332793e-01	2.259729e-02	-1.593250e+00	1.615848e+00
0.00583164    	-1.316059e+00	-5.200255e-01	-2.419836e-03	-1.317269e+00	1.314849e+00
0.00607714    	-1.269996e+00	-5.093253e-01	-6.506995e-04	-1.270322e+00	1.269671e+00
0.00633659    	-1.428665e+00	-5.681578e-01	-9.849543e-03	-1.433590e+00	1.423740e+00
0.00660498    	-1.501368e+00	-5.980547e-01	3.474397e-03	-1.499631e+00	1.503106e+00
0.0068843     	-1.371568e+00	-5.474875e-01	3.007737e-03	-1.370064e+00	1.373072e+00
0.00717693    	-1.279377e+00	-5.134139e-01	-1.352318e-02	-1.286139e+00	1.272616e+00
0.00747196    	-9.053378e-01	-3.664975e-01	-6.708897e-03	-9.086923e-01	9.019834e-01
0.00776412    	-6.026098e-01	-2.387202e-01	-9.361642e-04	-6.030779e-01	6.021417e-01
0.0080522     	-4.214217e-01	-1.747538e-01	8.959401e-03	-4.169420e-01	4.259014e-01
0.00833802    	-1.347770e-01	-5.666427e-02	-2.620133e-03	-1.360871e-01	1.334669e-01
0.00862316    	-1.009823e-02	-3.056226e-03	1.667338e-02	-1.761543e-03	1.843492e-02
0.00890912    	-5.726184e-02	-1.899058e-02	4.572564e-03	-5.497556e-02	5.954812e-02
0.00919607    	1.237925e-01	4.582583e-02	-4.802223e-03	1.213914e-01	-1.261936e-01
0.00948167    	2.878240e-01	1.093595e-01	3.579089e-03	2.896135e-01	-2.860344e-01
0.0097675     	5.164650e-01	1.993671e-01	9.069225e-03	5.209996e-01	-5.119304e-01
0.010055      	7.022669e-01	2.770967e-01	-2.833643e-04	7.021252e-01	-7.024086e-01
0.0103441     	6.862067e-01	2.722187e-01	-2.063702e-02	6.758882e-01	-6.965252e-01
0.0106325     	6.597371e-01	2.583483e-01	1.096722e-02	6.652207e-01	-6.542534e-01
0.0109216     	6.651029e-01	2.587910e-01	-1.989569e-03	6.641081e-01	-6.660977e-01
0.0112126     	6.701929e-01	2.610432e-01	1.314497e-03	6.708502e-01	-6.695357e-01
0.0115069     	7.023752e-01	2.738278e-01	-5.830245e-03	6.994601e-01	-7.052903e-01
0.0118052     	7.732168e-01	3.036176e-01	-1.372504e-03	7.725306e-01	-7.739031e-01
0.0121085     	7.614848e-01	3.011753e-01	1.251935e-02	7.677445e-01	-7.552252e-01
