# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e-01
# Aref        : 1.000000e-01
# CofR        : (1.500000e+00 1.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0             	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.00025       	6.164466e+03	1.232756e+03	-2.467852e-01	6.164343e+03	-6.164590e+03
0.0005        	-1.159343e+03	-2.315208e+02	1.365748e+00	-1.158660e+03	1.160026e+03
0.00075       	-1.843300e+03	-3.676765e+02	-3.499864e+00	-1.845050e+03	1.841550e+03
0.001         	4.134744e+01	9.358268e+00	1.225434e+00	4.196016e+01	-4.073472e+01
0.00125       	9.109666e+01	1.760271e+01	7.124559e-01	9.145289e+01	-9.074044e+01
0.0015        	1.205220e+01	1.635658e-01	1.498426e-01	1.212712e+01	-1.197728e+01
0.00175       	7.069839e+01	1.472612e+01	-1.350881e-01	7.063084e+01	-7.076593e+01
0.002         	1.698458e+01	3.989702e+00	-8.983794e-02	1.693966e+01	-1.702950e+01
0.00225       	7.128254e+00	1.719827e+00	-9.257870e-02	7.081965e+00	-7.174544e+00
0.0025        	8.689452e+00	1.920329e+00	-3.845965e-02	8.670222e+00	-8.708682e+00
0.00275       	4.960410e+00	1.038548e+00	-3.172122e-02	4.944549e+00	-4.976270e+00
0.003         	-3.414783e+00	-6.962360e-01	7.505694e-03	-3.411030e+00	3.418536e+00
0.00325       	-5.300738e+00	-1.092578e+00	1.004213e-02	-5.295717e+00	5.305759e+00
0.0035        	-4.927988e+00	-1.008933e+00	1.133136e-02	-4.922323e+00	4.933654e+00
0.00375       	-4.033184e+00	-8.262760e-01	8.951628e-03	-4.028708e+00	4.037660e+00
0.004         	-3.214915e+00	-6.692650e-01	5.271018e-03	-3.212280e+00	3.217551e+00
0.00425       	-2.176549e+00	-4.662086e-01	7.240481e-05	-2.176513e+00	2.176585e+00
0.0045        	-1.739641e+00	-4.076756e-01	1.430964e-03	-1.738925e+00	1.740356e+00
0.00475       	-1.001186e+00	-2.580129e-01	5.284229e-03	-9.985440e-01	1.003828e+00
0.005         	-9.305968e-01	-2.251098e-01	7.237787e-03	-9.269779e-01	9.342157e-01
