# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 4.000000e-01
# Aref        : 4.000000e-01
# CofR        : (6.000000e+00 2.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0             	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.001         	6.160563e+02	4.928168e+02	1.584194e+02	6.952660e+02	-5.368466e+02
0.002         	-2.474320e+02	-1.978601e+02	-7.079033e+01	-2.828272e+02	2.120369e+02
0.003         	-6.351578e+01	-5.086459e+01	-4.761286e+00	-6.589643e+01	6.113514e+01
0.004         	5.323768e+00	4.265136e+00	-9.581107e-01	4.844712e+00	-5.802823e+00
0.005         	7.443103e+00	5.993225e+00	7.383648e-01	7.812285e+00	-7.073921e+00
0.006         	5.211288e+00	4.173499e+00	6.397529e-01	5.531164e+00	-4.891411e+00
0.007         	2.837681e+00	2.254003e+00	6.227312e-01	3.149047e+00	-2.526316e+00
0.008         	2.095402e+00	1.671594e+00	5.037827e-01	2.347293e+00	-1.843511e+00
0.009         	1.924321e+00	1.538828e+00	4.717265e-01	2.160184e+00	-1.688457e+00
0.01          	1.867476e+00	1.494588e+00	4.498099e-01	2.092381e+00	-1.642571e+00
0.011         	1.817741e+00	1.454163e+00	4.247766e-01	2.030130e+00	-1.605353e+00
0.012         	1.759233e+00	1.407045e+00	3.856162e-01	1.952041e+00	-1.566425e+00
0.013         	1.687255e+00	1.349423e+00	3.752042e-01	1.874857e+00	-1.499653e+00
0.014         	1.628591e+00	1.302759e+00	3.654608e-01	1.811321e+00	-1.445861e+00
0.015         	1.581698e+00	1.265265e+00	3.501053e-01	1.756751e+00	-1.406645e+00
0.016         	1.535450e+00	1.228313e+00	3.332502e-01	1.702075e+00	-1.368825e+00
0.017         	1.491455e+00	1.193087e+00	3.202306e-01	1.651570e+00	-1.331339e+00
0.018         	1.449423e+00	1.159526e+00	3.104608e-01	1.604654e+00	-1.294193e+00
0.019         	1.412540e+00	1.129881e+00	3.047087e-01	1.564894e+00	-1.260185e+00
0.02          	1.384784e+00	1.107752e+00	3.022614e-01	1.535915e+00	-1.233653e+00
0.021         	1.367654e+00	1.093976e+00	2.991841e-01	1.517246e+00	-1.218061e+00
0.022         	1.353636e+00	1.082766e+00	2.949369e-01	1.501105e+00	-1.206168e+00
0.023         	1.337394e+00	1.069799e+00	2.891710e-01	1.481980e+00	-1.192809e+00
0.024         	1.305074e+00	1.043954e+00	2.821657e-01	1.446157e+00	-1.163991e+00
0.025         	1.272474e+00	1.017891e+00	2.774162e-01	1.411182e+00	-1.133766e+00
0.026         	1.241813e+00	9.933833e-01	2.725808e-01	1.378103e+00	-1.105522e+00
0.027         	1.214304e+00	9.713798e-01	2.682835e-01	1.348445e+00	-1.080162e+00
0.028         	1.189636e+00	9.516544e-01	2.638615e-01	1.321566e+00	-1.057705e+00
0.029         	1.168592e+00	9.347937e-01	2.594245e-01	1.298304e+00	-1.038880e+00
0.03          	1.148921e+00	9.190640e-01	2.547449e-01	1.276294e+00	-1.021549e+00
0.031         	1.131403e+00	9.050659e-01	2.506145e-01	1.256710e+00	-1.006096e+00
0.032         	1.114344e+00	8.914082e-01	2.464993e-01	1.237594e+00	-9.910946e-01
0.033         	1.099161e+00	8.792901e-01	2.430282e-01	1.220675e+00	-9.776473e-01
0.034         	1.083805e+00	8.669783e-01	2.396731e-01	1.203642e+00	-9.639687e-01
0.035         	1.070033e+00	8.559886e-01	2.370083e-01	1.188537e+00	-9.515284e-01
0.036         	1.055614e+00	8.444221e-01	2.343614e-01	1.172795e+00	-9.384335e-01
0.037         	1.042683e+00	8.341016e-01	2.321503e-01	1.158758e+00	-9.266078e-01
0.038         	1.029283e+00	8.233663e-01	2.296936e-01	1.144129e+00	-9.144358e-01
0.039         	1.017495e+00	8.139592e-01	2.274025e-01	1.131197e+00	-9.037941e-01
0.04          	1.005311e+00	8.041882e-01	2.248680e-01	1.117745e+00	-8.928769e-01
0.041         	9.946031e-01	7.956494e-01	2.224996e-01	1.105853e+00	-8.833533e-01
0.042         	9.833852e-01	7.866509e-01	2.201378e-01	1.093454e+00	-8.733163e-01
0.043         	9.734380e-01	7.787178e-01	2.181591e-01	1.082518e+00	-8.643585e-01
0.044         	9.630737e-01	7.704028e-01	2.160905e-01	1.071119e+00	-8.550284e-01
0.045         	9.539171e-01	7.631009e-01	2.142799e-01	1.061057e+00	-8.467772e-01
0.046         	9.443377e-01	7.554164e-01	2.123539e-01	1.050515e+00	-8.381607e-01
0.047         	9.358684e-01	7.486659e-01	2.106540e-01	1.041195e+00	-8.305414e-01
0.048         	9.269317e-01	7.414980e-01	2.088196e-01	1.031342e+00	-8.225219e-01
0.049         	9.190515e-01	7.352171e-01	2.071361e-01	1.022620e+00	-8.154835e-01
0.05          	9.105319e-01	7.283829e-01	2.055529e-01	1.013308e+00	-8.077555e-01
0.051         	9.032184e-01	7.225530e-01	2.040340e-01	1.005235e+00	-8.012014e-01
0.052         	8.953264e-01	7.162129e-01	2.024445e-01	9.965487e-01	-7.941041e-01
0.053         	8.881801e-01	7.105250e-01	2.012006e-01	9.887805e-01	-7.875798e-01
0.054         	8.808515e-01	7.046427e-01	1.995373e-01	9.806202e-01	-7.810828e-01
0.055         	8.743440e-01	6.994553e-01	1.981160e-01	9.734021e-01	-7.752860e-01
0.056         	8.673208e-01	6.938191e-01	1.967244e-01	9.656830e-01	-7.689586e-01
0.057         	8.611812e-01	6.889285e-01	1.955055e-01	9.589339e-01	-7.634284e-01
0.058         	8.546149e-01	6.836563e-01	1.941308e-01	9.516803e-01	-7.575495e-01
0.059         	8.488246e-01	6.790445e-01	1.929200e-01	9.452846e-01	-7.523646e-01
0.06          	8.426728e-01	6.741033e-01	1.916222e-01	9.384839e-01	-7.468617e-01
0.061         	8.373045e-01	6.698288e-01	1.904863e-01	9.325476e-01	-7.420613e-01
0.062         	8.314391e-01	6.651184e-01	1.892594e-01	9.260688e-01	-7.368094e-01
0.063         	8.263214e-01	6.610432e-01	1.882007e-01	9.204218e-01	-7.322211e-01
0.064         	8.207436e-01	6.565636e-01	1.870374e-01	9.142623e-01	-7.272249e-01
0.065         	8.158570e-01	6.526728e-01	1.860202e-01	9.088671e-01	-7.228469e-01
0.066         	8.105683e-01	6.484250e-01	1.848986e-01	9.030176e-01	-7.181190e-01
0.067         	8.059211e-01	6.447239e-01	1.839562e-01	8.978992e-01	-7.139430e-01
0.068         	8.008879e-01	6.406817e-01	1.829396e-01	8.923577e-01	-7.094181e-01
0.069         	7.964894e-01	6.371788e-01	1.820336e-01	8.875062e-01	-7.054726e-01
0.07          	7.916996e-01	6.333328e-01	1.810673e-01	8.822332e-01	-7.011660e-01
0.071         	7.874532e-01	6.299527e-01	1.802864e-01	8.775965e-01	-6.973100e-01
0.072         	7.829670e-01	6.263502e-01	1.793325e-01	8.726332e-01	-6.933007e-01
0.073         	7.789187e-01	6.231268e-01	1.785747e-01	8.682061e-01	-6.896314e-01
0.074         	7.746284e-01	6.196790e-01	1.776059e-01	8.634314e-01	-6.858255e-01
0.075         	7.707825e-01	6.166144e-01	1.767857e-01	8.591754e-01	-6.823897e-01
0.076         	7.665894e-01	6.132489e-01	1.760290e-01	8.546039e-01	-6.785749e-01
0.077         	7.628898e-01	6.102995e-01	1.751884e-01	8.504840e-01	-6.752956e-01
0.078         	7.590252e-01	6.071975e-01	1.743116e-01	8.461809e-01	-6.718694e-01
0.079         	7.554106e-01	6.043157e-01	1.735714e-01	8.421963e-01	-6.686249e-01
0.08          	7.516133e-01	6.012719e-01	1.730076e-01	8.381171e-01	-6.651094e-01
0.081         	7.482096e-01	5.985498e-01	1.721084e-01	8.342638e-01	-6.621554e-01
0.082         	7.447823e-01	5.958090e-01	1.712858e-01	8.304252e-01	-6.591394e-01
0.083         	7.413873e-01	5.930906e-01	1.705982e-01	8.266864e-01	-6.560882e-01
0.084         	7.380358e-01	5.904091e-01	1.698894e-01	8.229805e-01	-6.530911e-01
0.085         	7.347725e-01	5.878000e-01	1.691679e-01	8.193564e-01	-6.501886e-01
0.086         	7.315681e-01	5.852380e-01	1.684953e-01	8.158158e-01	-6.473205e-01
0.087         	7.284173e-01	5.827166e-01	1.678538e-01	8.123442e-01	-6.444904e-01
0.088         	7.253837e-01	5.802899e-01	1.671814e-01	8.089744e-01	-6.417930e-01
0.089         	7.223989e-01	5.779025e-01	1.665430e-01	8.056705e-01	-6.391274e-01
0.09          	7.194597e-01	5.755515e-01	1.659191e-01	8.024192e-01	-6.365001e-01
0.091         	7.165806e-01	5.732484e-01	1.653078e-01	7.992345e-01	-6.339267e-01
0.092         	7.137444e-01	5.709796e-01	1.647003e-01	7.960946e-01	-6.313943e-01
0.093         	7.109677e-01	5.687587e-01	1.640916e-01	7.930135e-01	-6.289219e-01
0.094         	7.082359e-01	5.665735e-01	1.635066e-01	7.899893e-01	-6.264826e-01
0.095         	7.055500e-01	5.644249e-01	1.629468e-01	7.870234e-01	-6.240766e-01
0.096         	7.029139e-01	5.623159e-01	1.624039e-01	7.841158e-01	-6.217119e-01
0.097         	7.003203e-01	5.602404e-01	1.618409e-01	7.812408e-01	-6.193998e-01
0.098         	6.977867e-01	5.582127e-01	1.612921e-01	7.784327e-01	-6.171407e-01
0.099         	6.952754e-01	5.562035e-01	1.607512e-01	7.756510e-01	-6.148998e-01
0.1           	6.928192e-01	5.542373e-01	1.602122e-01	7.729253e-01	-6.127132e-01
0.101         	6.904066e-01	5.523069e-01	1.596803e-01	7.702467e-01	-6.105664e-01
0.102         	6.880386e-01	5.504124e-01	1.591070e-01	7.675921e-01	-6.084851e-01
0.103         	6.857167e-01	5.485549e-01	1.585592e-01	7.649963e-01	-6.064371e-01
0.104         	6.834315e-01	5.467261e-01	1.580191e-01	7.624410e-01	-6.044219e-01
0.105         	6.811887e-01	5.449313e-01	1.574906e-01	7.599339e-01	-6.024434e-01
0.106         	6.789859e-01	5.431694e-01	1.569765e-01	7.574742e-01	-6.004976e-01
0.107         	6.768585e-01	5.414678e-01	1.564852e-01	7.551011e-01	-5.986159e-01
0.108         	6.747638e-01	5.397922e-01	1.559934e-01	7.527605e-01	-5.967672e-01
0.109         	6.727005e-01	5.381414e-01	1.555288e-01	7.504649e-01	-5.949361e-01
0.11          	6.706687e-01	5.365159e-01	1.550730e-01	7.482052e-01	-5.931322e-01
0.111         	6.686675e-01	5.349144e-01	1.546286e-01	7.459818e-01	-5.913533e-01
0.112         	6.666761e-01	5.333203e-01	1.541810e-01	7.437666e-01	-5.895856e-01
0.113         	6.647172e-01	5.317529e-01	1.537398e-01	7.415871e-01	-5.878473e-01
0.114         	6.627782e-01	5.302018e-01	1.533047e-01	7.394305e-01	-5.861258e-01
0.115         	6.608905e-01	5.286919e-01	1.528756e-01	7.373283e-01	-5.844527e-01
0.116         	6.590756e-01	5.272421e-01	1.524478e-01	7.352995e-01	-5.828517e-01
0.117         	6.573612e-01	5.258707e-01	1.519740e-01	7.333482e-01	-5.813743e-01
0.118         	6.556417e-01	5.244960e-01	1.515670e-01	7.314252e-01	-5.798582e-01
0.119         	6.539559e-01	5.231478e-01	1.511540e-01	7.295329e-01	-5.783789e-01
0.12          	6.523306e-01	5.218506e-01	1.507523e-01	7.277068e-01	-5.769545e-01
0.121         	6.507235e-01	5.205638e-01	1.503387e-01	7.258928e-01	-5.755541e-01
0.122         	6.490920e-01	5.192582e-01	1.499566e-01	7.240703e-01	-5.741137e-01
