# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 2.000000e-01
# Aref        : 2.000000e-01
# CofR        : (3.000000e+00 2.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0             	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.0005        	9.838038e+02	3.934851e+02	3.147343e+02	1.141171e+03	-8.264367e+02
0.001         	-3.453996e+02	-1.381434e+02	-1.599103e+02	-4.253547e+02	2.654444e+02
0.0015        	-1.443123e+02	-5.721258e+01	-6.973462e+00	-1.477990e+02	1.408256e+02
0.002         	-1.694182e+00	-1.113344e+00	2.471032e+00	-4.586666e-01	2.929698e+00
0.0025        	1.509679e+01	6.136596e+00	2.349756e+00	1.627167e+01	-1.392192e+01
0.003         	9.552063e+00	3.820381e+00	1.711049e+00	1.040759e+01	-8.696538e+00
0.0035        	4.450302e+00	1.753486e+00	8.220235e-01	4.861313e+00	-4.039290e+00
0.004         	3.394310e+00	1.364409e+00	7.453730e-01	3.766996e+00	-3.021623e+00
0.0045        	3.078518e+00	1.226365e+00	7.759004e-01	3.466468e+00	-2.690567e+00
0.005         	2.868146e+00	1.142799e+00	7.980974e-01	3.267195e+00	-2.469097e+00
0.0055        	2.738647e+00	1.092760e+00	7.918232e-01	3.134558e+00	-2.342735e+00
0.006         	2.634853e+00	1.052136e+00	7.826896e-01	3.026198e+00	-2.243508e+00
0.0065        	2.536385e+00	1.013494e+00	7.670132e-01	2.919891e+00	-2.152878e+00
0.007         	2.444602e+00	9.770214e-01	7.448723e-01	2.817039e+00	-2.072166e+00
0.0075        	2.361543e+00	9.437992e-01	7.219420e-01	2.722514e+00	-2.000572e+00
0.008         	2.292671e+00	9.161365e-01	6.989870e-01	2.642164e+00	-1.943177e+00
0.0085        	2.241786e+00	8.958962e-01	6.770364e-01	2.580304e+00	-1.903268e+00
0.009         	2.195262e+00	8.773285e-01	6.570987e-01	2.523812e+00	-1.866713e+00
0.0095        	2.149491e+00	8.591302e-01	6.398801e-01	2.469431e+00	-1.829550e+00
0.01          	2.103669e+00	8.409217e-01	6.246250e-01	2.415982e+00	-1.791357e+00
0.0105        	2.070713e+00	8.278469e-01	6.127731e-01	2.377100e+00	-1.764327e+00
0.011         	2.053190e+00	8.209983e-01	6.015304e-01	2.353955e+00	-1.752424e+00
