# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 2.000000e-01
# Aref        : 2.000000e-01
# CofR        : (4.000000e+00 2.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0             	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.006         	3.020952e+02	1.229222e+02	-2.408416e+01	2.900531e+02	-3.141373e+02
0.00608197    	2.240048e+03	9.345891e+02	3.806543e+02	2.430375e+03	-2.049720e+03
0.00618033    	-3.612223e+02	-1.500107e+02	2.450358e+02	-2.387044e+02	4.837402e+02
0.00629837    	-4.370963e+02	-1.722296e+02	1.975249e+01	-4.272201e+02	4.469726e+02
0.00644002    	1.658014e+01	5.073737e+00	-2.003943e+02	-8.361700e+01	-1.167773e+02
0.00659128    	1.187866e+02	4.726226e+01	-6.834150e+01	8.461588e+01	-1.529574e+02
0.00674094    	5.095736e+01	1.981580e+01	-9.999605e+00	4.595756e+01	-5.595717e+01
0.00690558    	3.098071e+00	1.367003e+00	6.968383e+00	6.582262e+00	3.861205e-01
0.00709917    	4.172147e+00	1.726411e+00	5.668849e+00	7.006571e+00	-1.337722e+00
0.00733147    	6.636778e+00	2.693426e+00	1.983035e+00	7.628296e+00	-5.645260e+00
0.00761023    	3.809765e+00	1.601867e+00	1.722877e-01	3.895909e+00	-3.723621e+00
0.00794475    	2.270679e+00	9.587249e-01	-6.475730e-01	1.946892e+00	-2.594465e+00
0.00834617    	2.237889e+00	9.384067e-01	-8.973108e-01	1.789233e+00	-2.686544e+00
0.00878676    	2.334529e+00	9.604254e-01	-8.651900e-01	1.901934e+00	-2.767124e+00
0.00925244    	2.117378e+00	8.679315e-01	-7.310227e-01	1.751867e+00	-2.482890e+00
0.00974726    	1.484212e+00	6.036156e-01	-5.921379e-01	1.188143e+00	-1.780281e+00
0.0102759     	1.461449e+00	5.943221e-01	-4.286538e-01	1.247123e+00	-1.675776e+00
0.0108431     	1.117034e+00	4.545226e-01	-2.502132e-01	9.919279e-01	-1.242141e+00
0.0114421     	9.888172e-01	3.999605e-01	-2.407062e-01	8.684641e-01	-1.109170e+00
0.0120669     	8.010548e-01	3.264541e-01	-1.754576e-01	7.133260e-01	-8.887836e-01
0.0127148     	7.553452e-01	3.067460e-01	-2.627101e-02	7.422097e-01	-7.684807e-01
0.0133807     	7.075120e-01	2.859969e-01	5.115284e-02	7.330884e-01	-6.819356e-01
0.0140584     	6.479485e-01	2.671532e-01	9.399278e-02	6.949449e-01	-6.009521e-01
0.014753      	6.298117e-01	2.551541e-01	1.420206e-01	7.008219e-01	-5.588014e-01
0.015471      	5.730817e-01	2.291286e-01	1.446425e-01	6.454029e-01	-5.007604e-01
0.0162003     	4.271256e-01	1.741217e-01	1.573686e-01	5.058099e-01	-3.484413e-01
0.0169363     	5.860899e-01	2.371917e-01	1.214328e-01	6.468063e-01	-5.253735e-01
0.0176822     	6.178312e-01	2.490461e-01	8.999330e-02	6.628279e-01	-5.728346e-01
0.0184402     	5.564348e-01	2.228517e-01	9.883953e-02	6.058546e-01	-5.070151e-01
0.0191944     	5.034499e-01	2.003267e-01	9.575697e-02	5.513284e-01	-4.555714e-01
0.0199466     	4.708456e-01	1.882494e-01	9.701129e-02	5.193512e-01	-4.223399e-01
0.0207005     	4.268375e-01	1.695012e-01	1.003077e-01	4.769913e-01	-3.766836e-01
0.0214599     	3.610455e-01	1.429110e-01	7.849473e-02	4.002929e-01	-3.217981e-01
0.0222307     	3.515941e-01	1.397123e-01	6.277668e-02	3.829824e-01	-3.202057e-01
0.0229908     	3.470814e-01	1.364506e-01	6.088229e-02	3.775225e-01	-3.166402e-01
0.0237426     	3.255842e-01	1.286603e-01	5.125973e-02	3.512141e-01	-2.999543e-01
0.0244883     	3.866045e-01	1.530287e-01	5.692715e-02	4.150681e-01	-3.581409e-01
0.0252302     	3.854039e-01	1.527071e-01	6.291477e-02	4.168613e-01	-3.539465e-01
0.0259712     	3.967216e-01	1.572547e-01	6.683161e-02	4.301374e-01	-3.633057e-01
0.0267144     	4.087651e-01	1.623079e-01	4.365834e-02	4.305942e-01	-3.869359e-01
0.0274632     	4.162124e-01	1.650369e-01	3.300763e-02	4.327162e-01	-3.997086e-01
0.0282207     	4.164576e-01	1.645816e-01	4.641963e-02	4.396674e-01	-3.932478e-01
0.0289903     	4.281744e-01	1.704144e-01	4.756954e-02	4.519591e-01	-4.043896e-01
