# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 1.000000e+00
# CofR        : (3.000000e+00 3.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0             	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.024         	1.073257e+02	2.153847e+02	2.005066e-01	1.074259e+02	-1.072254e+02
0.0246088     	1.292463e+02	2.584373e+02	-1.264592e+00	1.286140e+02	-1.298786e+02
0.0253394     	-3.959019e+01	-8.056320e+01	1.929890e+00	-3.862525e+01	4.055514e+01
0.0262162     	-1.018336e+01	-2.067576e+01	-3.979500e-01	-1.038234e+01	9.984388e+00
0.0272452     	3.411574e-01	1.149117e-01	-2.290586e-01	2.266281e-01	-4.556867e-01
0.0283552     	2.399780e+00	4.356486e+00	-8.023079e-02	2.359665e+00	-2.439896e+00
0.0294459     	1.733275e-01	1.039449e-01	-2.068754e-01	6.988978e-02	-2.767652e-01
0.0307074     	2.479339e-01	3.951501e-01	1.755605e-02	2.567119e-01	-2.391558e-01
0.0321792     	1.643561e-01	2.868102e-01	2.885829e-02	1.787852e-01	-1.499269e-01
0.0339038     	1.900420e-01	3.651793e-01	1.826453e-02	1.991743e-01	-1.809098e-01
0.0359732     	1.345865e-01	2.663395e-01	-6.371094e-03	1.314010e-01	-1.377721e-01
0.0384466     	9.637925e-02	1.915551e-01	-5.021426e-03	9.386854e-02	-9.888996e-02
0.0410098     	1.955961e-02	4.066193e-02	3.206752e-03	2.116298e-02	-1.795623e-02
0.0435782     	1.987655e-02	4.024526e-02	1.731630e-03	2.074237e-02	-1.901074e-02
0.0461683     	4.218296e-03	9.788919e-03	1.430176e-03	4.933384e-03	-3.503208e-03
0.0487962     	-4.444500e-03	-7.127099e-03	1.488180e-03	-3.700410e-03	5.188591e-03
0.0514167     	6.256377e-04	2.552055e-03	8.308648e-04	1.041070e-03	-2.102053e-04
0.0540415     	5.354465e-03	1.219429e-02	2.559041e-03	6.633985e-03	-4.074944e-03
0.0567055     	6.363216e-03	1.347858e-02	1.293093e-04	6.427871e-03	-6.298562e-03
0.0594318     	1.876550e-02	3.798679e-02	-3.001346e-04	1.861544e-02	-1.891557e-02
0.0621848     	2.604706e-02	5.317512e-02	4.865077e-03	2.847959e-02	-2.361452e-02
0.0649152     	3.621224e-02	7.349148e-02	2.433627e-03	3.742905e-02	-3.499542e-02
0.0676361     	3.824048e-02	7.726986e-02	1.941912e-03	3.921144e-02	-3.726953e-02
0.0703458     	3.782657e-02	7.619091e-02	2.523540e-03	3.908834e-02	-3.656480e-02
0.073057      	4.680910e-02	9.419025e-02	1.246117e-03	4.743216e-02	-4.618604e-02
0.0757819     	5.655178e-02	1.132441e-01	2.568410e-03	5.783599e-02	-5.526758e-02
0.0785308     	5.244152e-02	1.048568e-01	2.014834e-03	5.344894e-02	-5.143410e-02
0.0813123     	5.285515e-02	1.059935e-01	1.480652e-03	5.359548e-02	-5.211482e-02
0.0841332     	5.072864e-02	1.014631e-01	1.942261e-03	5.169977e-02	-4.975751e-02
0.0869997     	5.077855e-02	1.014948e-01	1.608583e-03	5.158284e-02	-4.997425e-02
0.0899168     	4.867474e-02	9.740434e-02	2.571325e-04	4.880331e-02	-4.854618e-02
0.0928886     	4.492031e-02	8.975451e-02	1.193848e-03	4.551723e-02	-4.432339e-02
0.0959065     	4.684779e-02	9.375518e-02	1.612286e-03	4.765394e-02	-4.604165e-02
