# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 2.000000e+00
# lRef        : 2.000000e-01
# Aref        : 2.000000e-01
# CofR        : (5.000000e+00 2.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0             	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.003         	2.426024e+02	9.760217e+01	2.409337e+00	2.438071e+02	-2.413977e+02
0.00307772    	1.473818e+03	5.879992e+02	2.702100e+01	1.487328e+03	-1.460307e+03
0.00315541    	-2.202342e+02	-9.113592e+01	6.211941e+00	-2.171282e+02	2.233402e+02
0.00322463    	-1.845425e+02	-6.957841e+01	-6.503758e+00	-1.877944e+02	1.812906e+02
0.00330769    	-3.331917e+01	-1.386389e+01	-2.278629e+00	-3.445849e+01	3.217986e+01
0.00339703    	4.752498e+01	1.831767e+01	8.122311e-01	4.793109e+01	-4.711886e+01
0.00348603    	5.323791e+01	2.091949e+01	6.965200e-01	5.358617e+01	-5.288965e+01
0.00358393    	3.224282e+01	1.311541e+01	-3.271992e-01	3.207922e+01	-3.240642e+01
0.00369236    	8.934387e+00	3.715011e+00	2.662723e-01	9.067523e+00	-8.801251e+00
0.00381547    	-1.676798e+00	-6.027926e-01	-9.549030e-02	-1.724543e+00	1.629052e+00
0.00394402    	-5.603934e-01	-2.175853e-01	-5.419335e-02	-5.874900e-01	5.332967e-01
0.00407881    	2.587657e+00	1.023747e+00	1.681730e-01	2.671744e+00	-2.503571e+00
0.0042208     	3.839614e+00	1.526687e+00	2.165933e-02	3.850444e+00	-3.828784e+00
0.00437116    	8.171368e-01	3.044099e-01	-1.466942e-01	7.437897e-01	-8.904839e-01
0.00453142    	1.219802e+00	4.918206e-01	2.548285e-02	1.232543e+00	-1.207060e+00
0.00470317    	1.168987e+00	4.755663e-01	3.423227e-02	1.186103e+00	-1.151871e+00
0.00488783    	4.666547e-01	1.813787e-01	2.200840e-02	4.776589e-01	-4.556505e-01
0.00508668    	-5.152245e-01	-2.145134e-01	2.201903e-02	-5.042150e-01	5.262340e-01
0.0053005     	-2.246510e-01	-1.054944e-01	-4.024233e-03	-2.266631e-01	2.226388e-01
0.0055298     	5.449531e-02	8.349941e-03	1.445124e-02	6.172094e-02	-4.726969e-02
0.00576641    	4.477673e-01	1.742484e-01	-1.339164e-02	4.410715e-01	-4.544632e-01
0.00600851    	5.338354e-01	2.099368e-01	5.154756e-03	5.364128e-01	-5.312580e-01
0.00625753    	6.109336e-01	2.372181e-01	-7.202539e-04	6.105734e-01	-6.112937e-01
0.00651506    	6.243582e-01	2.464231e-01	4.174064e-03	6.264452e-01	-6.222712e-01
0.00678244    	9.463933e-01	3.753164e-01	-1.123201e-02	9.407773e-01	-9.520093e-01
0.00706125    	8.264195e-01	3.295620e-01	8.472615e-03	8.306558e-01	-8.221832e-01
0.00735143    	9.858072e-01	3.970017e-01	1.241246e-02	9.920134e-01	-9.796010e-01
0.00764525    	1.115388e+00	4.508873e-01	-2.056564e-02	1.105106e+00	-1.125671e+00
0.00794345    	1.338871e+00	5.299580e-01	-1.021600e-02	1.333763e+00	-1.343979e+00
0.00824678    	1.349078e+00	5.398709e-01	1.910655e-03	1.350033e+00	-1.348122e+00
0.00855562    	1.424532e+00	5.690218e-01	-7.693029e-03	1.420686e+00	-1.428379e+00
