# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 2.000000e+00
# lRef        : 2.000000e-01
# Aref        : 2.000000e-01
# CofR        : (3.000000e+00 2.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0             	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.00025       	3.153672e+03	1.261389e+03	-8.581244e-02	3.153629e+03	-3.153715e+03
0.0005        	-1.036385e+03	-4.142812e+02	7.819482e-02	-1.036346e+03	1.036424e+03
0.00075       	-6.531342e+02	-2.620538e+02	3.957642e-01	-6.529363e+02	6.533321e+02
0.001         	5.615727e+01	2.278271e+01	-5.640442e-03	5.615445e+01	-5.616009e+01
0.00125       	8.389849e+01	3.358077e+01	-2.780609e-02	8.388459e+01	-8.391239e+01
0.0015        	-2.485370e+00	-8.315308e-01	3.031049e-03	-2.483855e+00	2.486886e+00
0.00175       	-1.890353e+00	-7.429932e-01	-3.920223e-02	-1.909954e+00	1.870752e+00
0.002         	-3.120216e-01	-1.304557e-01	2.404928e-02	-2.999970e-01	3.240463e-01
0.00225       	3.105372e-01	1.205035e-01	9.317907e-03	3.151961e-01	-3.058782e-01
0.0025        	5.070390e-01	2.025739e-01	2.841988e-03	5.084600e-01	-5.056180e-01
0.00275       	5.673592e-01	2.277479e-01	1.211750e-03	5.679651e-01	-5.667534e-01
0.003         	5.575607e-01	2.213873e-01	3.269750e-05	5.575771e-01	-5.575444e-01
0.00325       	4.974303e-01	1.969167e-01	-2.051548e-04	4.973277e-01	-4.975329e-01
0.0035        	4.429066e-01	1.756190e-01	-7.086981e-05	4.428711e-01	-4.429420e-01
0.00375       	4.019863e-01	1.597601e-01	-1.070584e-04	4.019328e-01	-4.020398e-01
0.004         	3.730699e-01	1.484420e-01	-1.011256e-04	3.730193e-01	-3.731204e-01
0.00425       	3.517456e-01	1.400354e-01	3.191196e-05	3.517616e-01	-3.517297e-01
0.0045        	3.365029e-01	1.341453e-01	2.766441e-04	3.366412e-01	-3.363646e-01
0.00475       	3.415955e-01	1.362790e-01	-2.422919e-05	3.415834e-01	-3.416076e-01
0.005         	3.275165e-01	1.307206e-01	2.856280e-05	3.275308e-01	-3.275023e-01
0.00525       	3.209661e-01	1.279864e-01	-1.498846e-04	3.208912e-01	-3.210411e-01
0.0055        	3.128249e-01	1.245909e-01	9.451252e-05	3.128722e-01	-3.127777e-01
0.00575       	3.019054e-01	1.202085e-01	1.158716e-04	3.019633e-01	-3.018474e-01
0.006         	2.908850e-01	1.158215e-01	1.485577e-04	2.909593e-01	-2.908107e-01
0.00625       	2.803936e-01	1.117065e-01	2.921118e-04	2.805397e-01	-2.802475e-01
0.0065        	2.735677e-01	1.089927e-01	1.002729e-04	2.736178e-01	-2.735176e-01
0.00675       	2.648909e-01	1.055478e-01	7.360064e-05	2.649277e-01	-2.648541e-01
0.007         	2.591468e-01	1.033061e-01	-5.863347e-05	2.591174e-01	-2.591761e-01
0.00725       	2.546032e-01	1.015268e-01	3.308619e-05	2.546197e-01	-2.545866e-01
0.0075        	2.512441e-01	1.002046e-01	1.482232e-04	2.513182e-01	-2.511700e-01
0.00775       	2.508748e-01	1.000961e-01	1.634252e-04	2.509565e-01	-2.507931e-01
0.008         	2.485894e-01	9.923291e-02	3.949478e-04	2.487869e-01	-2.483919e-01
0.00825       	2.451961e-01	9.782808e-02	2.989954e-04	2.453456e-01	-2.450466e-01
0.0085        	2.439284e-01	9.737723e-02	3.367822e-04	2.440968e-01	-2.437600e-01
0.00875       	2.414914e-01	9.645009e-02	3.531684e-04	2.416680e-01	-2.413148e-01
0.009         	2.395997e-01	9.569973e-02	3.580003e-04	2.397787e-01	-2.394207e-01
0.00925       	2.363515e-01	9.440432e-02	3.263935e-04	2.365147e-01	-2.361883e-01
0.0095        	2.326921e-01	9.298005e-02	3.563662e-04	2.328703e-01	-2.325139e-01
0.00975       	2.304976e-01	9.208689e-02	2.532529e-04	2.306243e-01	-2.303710e-01
0.01          	2.270053e-01	9.071391e-02	3.394315e-04	2.271750e-01	-2.268356e-01
0.01025       	2.256797e-01	9.017081e-02	3.163527e-04	2.258379e-01	-2.255215e-01
0.0105        	2.213490e-01	8.847779e-02	2.475099e-04	2.214728e-01	-2.212253e-01
0.01075       	2.189537e-01	8.751133e-02	3.188879e-04	2.191131e-01	-2.187942e-01
0.011         	2.181021e-01	8.717430e-02	3.448001e-04	2.182745e-01	-2.179297e-01
0.01125       	2.172909e-01	8.685792e-02	6.660683e-04	2.176239e-01	-2.169579e-01
0.0115        	2.172992e-01	8.685687e-02	5.367490e-04	2.175675e-01	-2.170308e-01
0.01175       	2.166901e-01	8.661724e-02	4.189295e-04	2.168995e-01	-2.164806e-01
0.012         	2.155427e-01	8.614942e-02	4.221091e-04	2.157537e-01	-2.153316e-01
0.01225       	2.129810e-01	8.513561e-02	3.686527e-04	2.131653e-01	-2.127967e-01
0.0125        	2.114235e-01	8.451450e-02	3.739212e-04	2.116105e-01	-2.112365e-01
0.01275       	2.110480e-01	8.436161e-02	3.053589e-04	2.112006e-01	-2.108953e-01
0.013         	2.099243e-01	8.387759e-02	5.173533e-04	2.101830e-01	-2.096656e-01
0.01325       	2.073223e-01	8.284105e-02	4.702499e-04	2.075574e-01	-2.070872e-01
0.0135        	2.052946e-01	8.201985e-02	3.933424e-04	2.054913e-01	-2.050979e-01
0.01375       	2.037422e-01	8.139638e-02	3.881187e-04	2.039363e-01	-2.035481e-01
0.014         	2.038892e-01	8.144346e-02	5.859271e-04	2.041821e-01	-2.035962e-01
0.01425       	2.033572e-01	8.122697e-02	2.476118e-04	2.034810e-01	-2.032334e-01
0.0145        	2.021257e-01	8.073179e-02	4.559394e-04	2.023537e-01	-2.018977e-01
0.01475       	2.012750e-01	8.040326e-02	3.467356e-04	2.014484e-01	-2.011016e-01
0.015         	2.009217e-01	8.023798e-02	3.681659e-04	2.011058e-01	-2.007376e-01
0.01525       	1.995794e-01	7.968477e-02	2.930385e-04	1.997259e-01	-1.994328e-01
0.0155        	1.981726e-01	7.907705e-02	3.711227e-04	1.983582e-01	-1.979870e-01
0.01575       	1.974983e-01	7.883124e-02	3.658653e-04	1.976812e-01	-1.973153e-01
0.016         	1.979669e-01	7.907080e-02	3.582783e-04	1.981461e-01	-1.977878e-01
0.01625       	1.986506e-01	7.938519e-02	3.419466e-04	1.988216e-01	-1.984796e-01
0.0165        	2.008674e-01	8.026526e-02	4.111798e-04	2.010730e-01	-2.006618e-01
0.01675       	2.028966e-01	8.105913e-02	3.609823e-04	2.030771e-01	-2.027161e-01
0.017         	2.045520e-01	8.170341e-02	2.642202e-04	2.046842e-01	-2.044199e-01
0.01725       	2.055835e-01	8.210221e-02	3.425901e-04	2.057548e-01	-2.054123e-01
