# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 1.000000e+00
# CofR        : (3.000000e+00 3.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0             	9.651548e-08	1.547802e-07	1.692811e-08	1.049795e-07	-8.805143e-08
0.024         	1.030248e+02	2.069570e+02	1.095558e+00	1.035726e+02	-1.024770e+02
0.0243565     	2.371260e+02	4.745414e+02	1.272653e-01	2.371896e+02	-2.370624e+02
0.0247842     	-7.137726e+01	-1.446019e+02	2.598621e+00	-7.007795e+01	7.267657e+01
0.0252241     	-1.535322e+01	-3.112686e+01	1.495909e+00	-1.460527e+01	1.610118e+01
0.0256723     	7.634467e+00	1.401194e+01	-4.478260e+00	5.395337e+00	-9.873597e+00
0.0261486     	3.602046e+00	6.304792e+00	2.639809e+00	4.921950e+00	-2.282141e+00
0.0266145     	7.167897e-01	8.514308e-01	4.921565e-01	9.628679e-01	-4.707114e-01
0.0271008     	-8.165878e-01	-1.962282e+00	6.471653e-03	-8.133520e-01	8.198237e-01
0.0276247     	-5.797432e-01	-1.322647e+00	2.184002e-01	-4.705431e-01	6.889433e-01
0.0282029     	2.243043e-01	3.611288e-01	1.015068e-03	2.248118e-01	-2.237968e-01
0.0288506     	3.258035e-01	6.063743e-01	-3.089397e-01	1.713336e-01	-4.802733e-01
0.0295852     	1.924531e-01	3.687727e-01	-2.343596e-01	7.527336e-02	-3.096329e-01
0.0304176     	5.896093e-02	9.940348e-02	-4.247535e-02	3.772325e-02	-8.019860e-02
0.0313251     	1.621340e-02	2.400381e-02	-2.592311e-02	3.251843e-03	-2.917495e-02
0.0323202     	5.363638e-02	9.989524e-02	1.231307e-01	1.152017e-01	7.928950e-03
0.0333347     	-1.459571e-02	-3.262914e-02	2.684663e-01	1.196375e-01	1.488289e-01
0.034375      	-9.094420e-02	-1.814336e-01	2.005710e-01	9.341293e-03	1.912297e-01
0.0354483     	-9.097223e-02	-1.809420e-01	1.824113e-01	2.334080e-04	1.821779e-01
0.0365619     	-6.039069e-02	-1.201316e-01	2.124042e-01	4.581142e-02	1.665928e-01
0.0376324     	-3.615502e-02	-7.149962e-02	1.904562e-01	5.907306e-02	1.313831e-01
0.0386792     	-1.466893e-02	-2.871754e-02	1.175952e-01	4.412869e-02	7.346654e-02
0.0397224     	5.639078e-04	2.707361e-03	1.314181e-01	6.627296e-02	6.514515e-02
0.0407419     	1.167350e-02	2.198483e-02	1.121203e-01	6.773363e-02	4.438663e-02
0.04175       	3.717889e-02	7.707269e-02	9.395216e-02	8.415497e-02	9.797194e-03
0.0427608     	4.799994e-02	9.895194e-02	9.738574e-02	9.669281e-02	6.929297e-04
0.0437829     	5.567736e-02	1.131995e-01	1.304960e-01	1.209254e-01	9.570632e-03
0.04482       	6.190015e-02	1.239106e-01	1.186210e-01	1.212106e-01	-2.589667e-03
0.0458725     	6.982768e-02	1.401197e-01	1.091322e-01	1.243938e-01	-1.526157e-02
0.0469384     	6.752155e-02	1.350470e-01	8.677424e-02	1.109087e-01	-2.413443e-02
0.0480143     	6.366459e-02	1.272015e-01	7.638483e-02	1.018570e-01	-2.547217e-02
0.0490964     	7.621875e-02	1.525292e-01	7.803350e-02	1.152355e-01	-3.720199e-02
0.0501817     	8.151888e-02	1.622299e-01	8.713497e-02	1.250864e-01	-3.795140e-02
0.0512685     	8.752366e-02	1.729584e-01	8.962248e-02	1.323349e-01	-4.271242e-02
0.0523563     	8.674639e-02	1.696960e-01	8.480007e-02	1.291464e-01	-4.434635e-02
0.0534455     	8.927780e-02	1.782023e-01	1.063687e-01	1.424621e-01	-3.609347e-02
0.0545375     	8.906272e-02	1.764284e-01	9.943582e-02	1.387806e-01	-3.934481e-02
0.0556353     	8.821173e-02	1.754305e-01	1.089995e-01	1.427115e-01	-3.371198e-02
0.0567427     	9.408725e-02	1.868706e-01	1.278922e-01	1.580333e-01	-3.014117e-02
0.0578639     	9.664443e-02	1.919486e-01	1.390888e-01	1.661888e-01	-2.710003e-02
0.0590034     	8.862213e-02	1.743550e-01	1.402810e-01	1.587626e-01	-1.848164e-02
0.0601648     	8.445962e-02	1.672731e-01	1.362057e-01	1.525625e-01	-1.635676e-02
0.0613523     	9.327344e-02	1.843269e-01	1.280045e-01	1.572757e-01	-2.927120e-02
0.0625699     	1.002226e-01	1.986445e-01	1.217147e-01	1.610800e-01	-3.936529e-02
0.0638209     	9.651561e-02	1.938602e-01	1.213066e-01	1.571689e-01	-3.586231e-02
0.065109      	9.657973e-02	1.913572e-01	1.268641e-01	1.600118e-01	-3.314767e-02
0.0664385     	9.574964e-02	1.893197e-01	1.346623e-01	1.630808e-01	-2.841847e-02
0.0678128     	9.507758e-02	1.882825e-01	1.264568e-01	1.583060e-01	-3.184917e-02
0.0692354     	9.746546e-02	1.928174e-01	1.112191e-01	1.530750e-01	-4.185592e-02
0.0707093     	9.815614e-02	1.947811e-01	9.249608e-02	1.444042e-01	-5.190810e-02
0.0721921     	9.873252e-02	1.964702e-01	9.793243e-02	1.476987e-01	-4.976631e-02
0.0736348     	9.254354e-02	1.832118e-01	1.012591e-01	1.431731e-01	-4.191397e-02
0.0750387     	9.802346e-02	1.947082e-01	8.864692e-02	1.423469e-01	-5.370000e-02
0.0764053     	9.670714e-02	1.924402e-01	9.258378e-02	1.429990e-01	-5.041525e-02
0.0777373     	9.805343e-02	1.947985e-01	8.669955e-02	1.414032e-01	-5.470366e-02
0.079038      	9.523918e-02	1.905789e-01	9.107621e-02	1.407773e-01	-4.970107e-02
0.0803108     	9.655422e-02	1.923395e-01	9.690238e-02	1.450054e-01	-4.810303e-02
0.0815597     	9.548481e-02	1.913351e-01	8.816176e-02	1.395657e-01	-5.140393e-02
0.0827883     	9.712517e-02	1.938763e-01	7.799230e-02	1.361213e-01	-5.812902e-02
0.084001      	9.385001e-02	1.879607e-01	6.906883e-02	1.283844e-01	-5.931560e-02
0.085202      	9.074422e-02	1.819407e-01	6.522834e-02	1.233584e-01	-5.813005e-02
0.0863958     	8.693803e-02	1.731536e-01	6.148758e-02	1.176818e-01	-5.619424e-02
0.0875862     	9.266800e-02	1.871561e-01	6.676187e-02	1.260489e-01	-5.928707e-02
0.0887768     	9.601582e-02	1.921758e-01	6.779969e-02	1.299157e-01	-6.211598e-02
0.0899669     	9.276825e-02	1.853148e-01	6.416053e-02	1.248485e-01	-6.068798e-02
0.0911593     	9.342847e-02	1.864245e-01	5.990064e-02	1.233788e-01	-6.347815e-02
0.0923564     	9.081519e-02	1.831937e-01	6.800965e-02	1.248200e-01	-5.681037e-02
0.0935596     	9.320538e-02	1.868934e-01	6.677582e-02	1.265933e-01	-5.981747e-02
0.0947701     	9.696580e-02	1.932973e-01	6.540689e-02	1.296692e-01	-6.426236e-02
0.0959881     	9.657946e-02	1.934145e-01	7.601229e-02	1.345856e-01	-5.857331e-02
0.0972133     	9.607496e-02	1.929828e-01	7.866133e-02	1.354056e-01	-5.674429e-02
0.0984448     	1.010306e-01	2.027784e-01	7.926429e-02	1.406627e-01	-6.139845e-02
0.0996817     	1.044254e-01	2.095037e-01	7.689961e-02	1.428752e-01	-6.597557e-02
0.100923      	1.082036e-01	2.148131e-01	7.142177e-02	1.439145e-01	-7.249270e-02
0.102166      	1.081565e-01	2.156304e-01	6.097248e-02	1.386427e-01	-7.767023e-02
0.103412      	1.052347e-01	2.110786e-01	6.475243e-02	1.376109e-01	-7.285852e-02
0.104658      	1.093694e-01	2.167688e-01	7.010816e-02	1.444235e-01	-7.431533e-02
0.105906      	1.092448e-01	2.174056e-01	6.445446e-02	1.414720e-01	-7.701755e-02
0.107154      	1.101260e-01	2.186977e-01	6.266782e-02	1.414599e-01	-7.879213e-02
0.108404      	1.130856e-01	2.249344e-01	7.444936e-02	1.503103e-01	-7.586094e-02
0.109656      	1.171966e-01	2.331858e-01	7.957485e-02	1.569840e-01	-7.740915e-02
0.110913      	1.167406e-01	2.314437e-01	8.578586e-02	1.596336e-01	-7.384769e-02
0.112174      	1.149547e-01	2.288410e-01	9.028021e-02	1.600948e-01	-6.981455e-02
0.113444      	1.167052e-01	2.309274e-01	8.406454e-02	1.587375e-01	-7.467291e-02
0.114721      	1.159893e-01	2.299514e-01	7.598053e-02	1.539795e-01	-7.799899e-02
0.116009      	1.185006e-01	2.351817e-01	7.906472e-02	1.580330e-01	-7.896827e-02
0.117301      	1.199721e-01	2.387580e-01	8.042732e-02	1.601858e-01	-7.975846e-02
0.118591      	1.207526e-01	2.401523e-01	8.168357e-02	1.615944e-01	-7.991086e-02
0.119881      	1.230746e-01	2.445086e-01	8.481503e-02	1.654821e-01	-8.066706e-02
0.121172      	1.238485e-01	2.465569e-01	7.561518e-02	1.616561e-01	-8.604089e-02
0.122461      	1.247651e-01	2.483150e-01	7.340314e-02	1.614666e-01	-8.806348e-02
0.123751      	1.258168e-01	2.500931e-01	6.824143e-02	1.599375e-01	-9.169609e-02
0.125041      	1.273346e-01	2.533163e-01	7.181694e-02	1.632431e-01	-9.142615e-02
0.126332      	1.311344e-01	2.599001e-01	7.294633e-02	1.676075e-01	-9.466120e-02
0.127625      	1.319536e-01	2.617796e-01	7.205899e-02	1.679831e-01	-9.592412e-02
0.12892       	1.347746e-01	2.674332e-01	7.122313e-02	1.703862e-01	-9.916303e-02
0.130219      	1.349243e-01	2.689417e-01	7.080289e-02	1.703258e-01	-9.952288e-02
0.131521      	1.355869e-01	2.700916e-01	6.784502e-02	1.695094e-01	-1.016644e-01
0.132829      	1.392637e-01	2.767362e-01	7.033187e-02	1.744296e-01	-1.040978e-01
0.134141      	1.412707e-01	2.823873e-01	7.007741e-02	1.763095e-01	-1.062320e-01
0.135452      	1.409892e-01	2.832358e-01	6.738489e-02	1.746817e-01	-1.072968e-01
0.136762      	1.404459e-01	2.821009e-01	6.745161e-02	1.741717e-01	-1.067201e-01
